videoname,runup,takeoff,flight1_handplacement,flight2,landing
IMG_s1.MOV,35,46,56,64,75
IMG_s2.MOV,62,75,83,89,102
IMG_s3.MOV,87,103,112,119,130
IMG_s4.MOV,31,48,56,64,75
IMG_s5.MOV,56,72,78,85,97
IMG_s6.MOV,42,60,67,75,86
IMG_s7.MOV,62,75,86,97,104
IMG_s8.MOV,71,84,95,103,114
IMG_s9.MOV,80,91,105,116,124
IMG_s10.MOV,54,69,84,94,101
IMG_s11.MOV,22,38,50,60,69
IMG_s12.MOV,50,64,73,82,90
IMG_s13.MOV,50,67,76,89,97
IMG_s14.MOV,85,104,113,123,134
IMG_s15.MOV,11,29,35,49,56
IMG_s16.MOV,28,44,49,58,68
IMG_s17.MOV,24,40,47,60,67
IMG_s18.MOV,3,17,22,31,39
IMG_s19.MOV,57,71,82,94,101
IMG_s20.MOV,47,62,68,77,85
IMG_s21.MOV,36,48,54,66,73
IMG_s22.MOV,87,103,109,118,126
IMG_s23.MOV,52,74,79,93,99
IMG_s24.MOV,30,44,50,63,71
IMG_s25.MOV,46,64,72,83,91
IMG_s26.MOV,38,51,57,64,75
IMG_s27.MOV,14,25,32,40,65
IMG_s28.MOV,0,20,29,40,-1
IMG_s29.MOV,12,29,35,48,-1
IMG_s30.MOV,22,36,40,50,-1
IMG_s31.MOV,-1,3,7,17,26
IMG_s32.MOV,6,24,32,42,51
IMG_s33.MOV,19,38,44,53,62
IMG_s34.MOV,27,46,49,58,68
IMG_s35.MOV,27,40,51,61,68
IMG_s36.MOV,8,18,24,34,-1
IMG_s37.MOV,1,15,22,35,40
IMG_s38.MOV,44,64,70,85,-1
IMG_s39.MOV,74,87,96,108,-1
IMG_s40.MOV,21,31,37,47,54
IMG_s41.MOV,4,14,21,29,39
IMG_s42.MOV,21,29,40,49,59
IMG_s43.MOV,35,43,53,64,-1
IMG_s44.MOV,28,33,44,54,66
IMG_s45.MOV,27,31,40,50,-1
IMG_s46.MOV,7,11,16,24,33
IMG_s47.MOV,0,10,22,31,41
IMG_s48.MOV,21,35,46,55,62
IMG_s49.MOV,9,22,31,-1,97
IMG_s50.MOV,19,29,37,47,58
IMG_s51.MOV,14,23,34,44,54
IMG_s52.MOV,-1,37,48,-1,-1
IMG_s53.MOV,-1,19,30,41,-1
IMG_s54.MOV,6,16,28,38,55
IMG_s55.MOV,23,34,43,52,64
IMG_s56.MOV,8,20,29,39,46
IMG_s57.MOV,25,33,39,49,57
IMG_s58.MOV,18,28,38,48,-1
IMG_s59.MOV,-1,1,12,24,33
IMG_s60.MOV,10,25,34,-1,63
IMG_s61.MOV,-1,6,17,24,34
IMG_s62.MOV,8,19,30,39,50
IMG_s63.MOV,15,23,32,-1,-1
IMG_s64.MOV,-1,28,42,51,60
IMG_s65.MOV,25,39,54,64,-1
IMG_s66.MOV,-1,25,36,47,54
IMG_s67.MOV,-1,20,34,42,49
IMG_s68.MOV,-1,16,25,-1,-1
IMG_s69.MOV,11,24,37,45,-1
IMG_s70.MOV,5,15,26,34,48
IMG_s71.MOV,-1,-1,1,10,21
IMG_s72.MOV,-1,-1,7,14,23
IMG_s73.MOV,-1,6,13,23,-1
IMG_s74.MOV,26,38,50,-1,-1
IMG_s75.MOV,-1,9,20,26,32
IMG_s76.MOV,-1,7,15,22,34
IMG_s77.MOV,-1,86,102,110,122
IMG_s78.MOV,-1,18,30,40,52
IMG_s79.MOV,-1,12,23,33,43
IMG_s80.MOV,-1,22,33,43,58
IMG_s81.MOV,-1,21,33,42,59
IMG_s82.MOV,-1,55,66,76,88
