video_name,beginpositie,opzwaai,handplaatsing,lichaamshouding,landing
IMG_h1.MOV,1,1,1,1,1
IMG_h2.MOV,1,1,1,1,1
IMG_h3.MOV,1,1,1,1,1
IMG_h4.MOV,1,1,1,1,1
IMG_h5.MOV,1,1,1,1,1
IMG_h6.mp4,1,1,1,1,1
IMG_h7.MOV,1,1,1,1,1
IMG_h8.MOV,0,1,1,1,1
IMG_h9.MOV,1,1,1,0,1
IMG_h10.MOV,1,1,1,1,0
IMG_h11.MOV,0,1,1,1,1
IMG_h12.MOV,0,1,1,0,0
IMG_h13.MOV,1,1,1,1,0
IMG_h14.MOV,1,0,0,0,0
IMG_h15.MOV,1,1,1,1,1
IMG_h16.MOV,1,1,1,0,1
IMG_h17.MOV,0,1,1,0,0
IMG_h18.MOV,0,1,1,0,0
IMG_h19.MOV,0,1,1,1,1
IMG_h20.MOV,1,1,1,0,0
IMG_h21.MOV,1,1,1,1,0
IMG_h22.MOV,1,1,1,0,1
IMG_h23.MOV,1,1,1,0,1
IMG_h24.MOV,0,1,1,0,0
IMG_h25.MOV,0,0,1,0,0
IMG_h26.MOV,0,0,1,0,0
IMG_h27.MOV,0,1,1,0,0
IMG_h28.MOV,1,1,1,0,0
IMG_h29.MOV,0,1,1,0,1
IMG_h30.MOV,1,1,1,1,1
IMG_h31.MOV,1,0,0,0,0
IMG_h32.MOV,1,1,0,0,0
IMG_h33.MOV,0,1,1,0,1
IMG_h34.MOV,1,0,1,0,0
IMG_h35.MOV,1,1,1,0,1
IMG_h36.MOV,1,1,1,1,1
IMG_h37.MOV,0,1,1,1,0
IMG_h38.MOV,1,1,1,0,0
IMG_h39.MOV,0,1,1,1,1
IMG_h40.MOV,1,1,1,0,0
IMG_h41.mov,0,0,1,0,0
IMG_h42.MOV,0,1,1,0,0
IMG_h43.MOV,0,1,1,1,0
IMG_h44.MOV,0,1,1,1,1
IMG_h45.MOV,0,0,0,1,0
IMG_h46.MOV,1,1,1,0,0
IMG_h47.MOV,0,1,1,0,1
IMG_h48.MOV,1,1,0,0,0
IMG_h49.MOV,0,1,1,1,1
IMG_h50.MOV,1,1,1,0,0
IMG_h51.MOV,0,1,1,0,0
IMG_h52.MOV,0,1,1,1,1
IMG_h53.MOV,1,1,1,0,1
IMG_h54.MOV,1,1,1,0,0
IMG_h55.MOV,0,1,1,1,1
IMG_h56.MOV,0,1,1,0,0
IMG_h57.MOV,1,1,1,0,0
IMG_h58.MOV,0,1,1,0,0
IMG_h59.MOV,0,1,0,0,0
IMG_h60.MOV,0,1,1,0,0
IMG_h61.MOV,0,1,1,1,0
IMG_h62.MOV,0,1,1,1,1
IMG_h63.MOV,0,1,1,1,1
IMG_h64.MOV,1,1,1,1,1
IMG_h65.MOV,0,1,1,1,1
IMG_h66.MOV,1,1,1,1,1
IMG_h67.MOV,1,1,1,1,1
IMG_h68.MOV,1,1,1,1,1
IMG_h69.MOV,1,1,1,1,1
IMG_h70.MOV,0,1,1,1,1
IMG_h71.MOV,0,1,1,1,1
IMG_h72.MOV,0,1,1,1,0
IMG_h73.MOV,1,1,1,1,1
