videoname,starting,swing,handstand,landing
IMG_h1.MOV,0,66,87,162
IMG_h2.MOV,0,45,74,170
IMG_h3.MOV,45,122,153,337
IMG_h4.MOV,4,84,217,316
IMG_h5.MOV,5,29,93,240
IMG_h6.mp4,3,56,85,159
IMG_h7.MOV,5,54,85,205
IMG_h8.MOV,17,41,74,131
IMG_h9.MOV,3,35,75,155
IMG_h10.MOV,1,102,174,326
IMG_h12.MOV,28,64,84,129
IMG_h11.MOV,15,59,92,192
IMG_h13.MOV,4,56,75,137
IMG_h14.MOV,1,53,61,79
IMG_h15.MOV,15,59,89,150
IMG_h16.MOV,17,45,69,129
IMG_h17.MOV,22,56,84,126
IMG_h18.MOV,84,116,134,151
IMG_h19.MOV,0,16,38,97
IMG_h20.MOV,15,54,67,113
IMG_h21.MOV,25,52,68,96
IMG_h22.MOV,16,46,63,94
IMG_h23.MOV,1,32,51,87
IMG_h24.MOV,2,25,39,64
IMG_h25.MOV,10,38,55,85
IMG_h26.MOV,9,36,43,70
IMG_h27.MOV,19,46,61,84
IMG_h28.MOV,4,31,48,66
IMG_h29.MOV,3,28,47,80
IMG_h30.MOV,9,39,58,104
IMG_h31.MOV,22,54,-1,84
IMG_h32.MOV,23,52,-1,82
IMG_h33.MOV,1,17,32,66
IMG_h34.MOV,20,48,58,80
IMG_h35.MOV,3,34,49,73
IMG_h36.MOV,4,28,45,86
IMG_h37.MOV,-1,14,35,62
IMG_h38.MOV,-1,17,30,50
IMG_h39.MOV,-1,15,48,120
IMG_h40.MOV,-1,20,29,53
IMG_h41.mov,-1,5,22,64
IMG_h42.MOV,-1,7,27,-1
IMG_h42.MOV,-1,7,27,-1
IMG_h42.MOV,-1,7,27,-1
IMG_h43.MOV,-1,6,26,63
IMG_h44.MOV,-1,0,41,99
IMG_h45.MOV,-1,2,10,24
IMG_h46.MOV,2,11,36,56
IMG_h47.MOV,-1,0,19,64
IMG_h48.MOV,12,32,43,61
IMG_h49.MOV,-1,0,11,48
IMG_h50.MOV,0,16,34,65
IMG_h51.MOV,-1,0,8,18
IMG_h52.MOV,-1,-1,22,74
IMG_h53.MOV,0,17,36,84
IMG_h54.MOV,80,139,158,199
IMG_h55.MOV,-1,11,37,83
IMG_h56.MOV,0,12,30,46
IMG_h57.MOV,21,42,56,86
IMG_h58.MOV,12,25,40,56
IMG_h59.MOV,-1,2,23,41
IMG_h60.MOV,0,8,22,40
IMG_h61.MOV,0,8,44,87
IMG_h62.MOV,0,6,41,111
IMG_h63.MOV,-1,6,43,117
IMG_h64.MOV,1,34,73,129
IMG_h65.MOV,-1,7,32,81
IMG_h66.MOV,1,25,45,105
IMG_h67.MOV,0,44,60,123
IMG_h68.MOV,1,58,77,149
IMG_h69.MOV,-1,22,42,99
IMG_h70.MOV,-1,5,36,133
IMG_h71.MOV,-1,18,40,107
IMG_h72.MOV,-1,20,42,93
IMG_h73.MOV,4,44,63,138
